// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> -1st beat- BAD EPISODE.Lost Memories
<0000> -1st beat- BAD EPISODE.Lost Memories
{0047} 0a // 0000

//<0001> 恐らく、一晩は経ったのだろう。
<0001> 恐らく、一晩は経ったのだろう。
<10951> 量産型日向

//<10952> ？？
<10952> ？？

//<10953> 「もちろんだ。もう、お前と俺はただのルームメイトさ」
<10953> 「もちろんだ。もう、お前と俺はただのルームメイトさ」

//<10954> nothing
<10954> nothing

//<10955> nothing
<10955> nothing

//<10956> nothing
<10956> nothing

//<10957> nothing
<10957> nothing

//<10958> nothing
<10958> nothing

//<10959> 日向
<10959> 日向

//<10960> 男Ｂ
<10960> 男Ｂ

//<10961> エロエロ団総帥
<10961> エロエロ団総帥

//<10962> イケチン
<10962> イケチン

//<10963> ホモ太
<10963> ホモ太

//<10964> ひなチン
<10964> ひなチン

//<10965> 秀樹
<10965> 秀樹

//<10966> 男子生徒
<10966> 男子生徒

//<10967> ？？
<10967> ？？

//<10968> 「ああ、もう作戦については何も言わね」
<10968> 「ああ、もう作戦については何も言わね」

//<10969> 俺が経験してきたのは、この世界でのほんの少しでしかない。
<10969> 俺が経験してきたのは、この世界でのほんの少しでしかない。

//<10970> これから、何年、何十年、何百年と続いていくかもしれない世界。
<10970> これから、何年、何十年、何百年と続いていくかもしれない世界。

//<10971> ゆりが消えてからは、授業にも出たし、部活にも入り、運動もし続けた。
<10971> ゆりが消えてからは、授業にも出たし、部活にも入り、運動もし続けた。

//<10972> なのに、いつまでも消えない存在で居る。
<10972> なのに、いつまでも消えない存在で居る。

//<10973> たまに戦線メンバーの制服を着た生徒を見かけるが、入隊を断ったのだから、無視するしかなかった。
<10973> たまに戦線メンバーの制服を着た生徒を見かけるが、入隊を断ったのだから、無視するしかなかった。

//<10974> そして、一番大切なこと。
<10974> そして、一番大切なこと。

//<10975> 俺の記憶は一向に戻らない。
<10975> 俺の記憶は一向に戻らない。

//<10976> そもそも俺はＮＰＣなんじゃないかと、思い始めていた。
<10976> そもそも俺はＮＰＣなんじゃないかと、思い始めていた。

//<10977> そう割り切ると、意外と友達が増えた。
<10977> そう割り切ると、意外と友達が増えた。

//<10978> 共に学校の行事を手伝い、その成功に喜び、部活でもキャプテンになり、責任感を覚える。
<10978> 共に学校の行事を手伝い、その成功に喜び、部活でもキャプテンになり、責任感を覚える。

//<10979> 女生徒から何度も告白されることもあった。
<10979> 女生徒から何度も告白されることもあった。

//<10980> まんざらでもない。
<10980> まんざらでもない。

//<10981> いつの間にか、この世界に取り込まれていた。
<10981> いつの間にか、この世界に取り込まれていた。

//<10982> 素敵なガールフレンドも出来た。
<10982> 素敵なガールフレンドも出来た。

//<10983> ＮＰＣだろうけど、世界の核心に迫ることを訊かなければ、問題ない。
<10983> ＮＰＣだろうけど、世界の核心に迫ることを訊かなければ、問題ない。

//<10984> 永遠に続く世界なら、楽しいと思い始めた。
<10984> 永遠に続く世界なら、楽しいと思い始めた。

//<10985> -1st beat- BAD EPISODE.Passion
<10985> -1st beat- BAD EPISODE.Passion

//<10986> 午前の自由行動。
<10986> 午前の自由行動。

//<10987> 本部の前に立ち、合い言葉を言った。
<10987> 本部の前に立ち、合い言葉を言った。

//<10988> se_key_open
<10988> se_key_open

//<10989> がちゃりと鍵が開く音。
<10989> がちゃりと鍵が開く音。

//<10990> se_wooddoor_open3
<10990> se_wooddoor_open3

//<10991> nothing
<10991> nothing

//<10992> nothing
<10992> nothing

//<10993> nothing
<10993> nothing

//<10994> nothing
<10994> nothing

//<10995> nothing
<10995> nothing

//<10996> 中に入ると、ゆりは不服そうな顔でいつものように校長の席に座っていた。
<10996> 中に入ると、ゆりは不服そうな顔でいつものように校長の席に座っていた。

//<10997> nothing
<10997> nothing

//<10998> nothing
<10998> nothing

//<10999> nothing
<10999> nothing

//<11000> nothing
<11000> nothing

//<11001> nothing
<11001> nothing

//<11002> ゆり
<11002> ゆり

//<11003> 女生徒
<11003> 女生徒

//<11004> ？？
<11004> ？？

//<11005> 「今度こそ反省の弁でも…」
<11005> 「今度こそ反省の弁でも…」

//<11006> bs3_
<11006> bs3_

//<11007> nothing
<11007> nothing

//<11008> nothing
<11008> nothing

//<11009> nothing
<11009> nothing

//<11010> nothing
<11010> nothing

//<11011> nothing
<11011> nothing

//<11012> 俺は迷いもなく、駆けて、ゆり目がけて飛んだ。
<11012> 俺は迷いもなく、駆けて、ゆり目がけて飛んだ。

//<11013> se_handgun2
<11013> se_handgun2

//<11014> nothing
<11014> nothing

//<11015> nothing
<11015> nothing

//<11016> nothing
<11016> nothing

//<11017> nothing
<11017> nothing

//<11018> nothing
<11018> nothing

//<11019> 腹部に衝撃。
<11019> 腹部に衝撃。

//<11020> 銃を構えたゆりの姿が、斜めになり、黒く、消えていく…。
<11020> 銃を構えたゆりの姿が、斜めになり、黒く、消えていく…。

//<11021> 次の日の自由行動。
<11021> 次の日の自由行動。

//<11022> 昨日と同じように本部の前に立ち、合い言葉を言った。
<11022> 昨日と同じように本部の前に立ち、合い言葉を言った。

//<11023> se_key_open
<11023> se_key_open

//<11024> がちゃりと鍵が開く音。
<11024> がちゃりと鍵が開く音。

//<11025> se_wooddoor_open3
<11025> se_wooddoor_open3

//<11026> nothing
<11026> nothing

//<11027> nothing
<11027> nothing

//<11028> nothing
<11028> nothing

//<11029> nothing
<11029> nothing

//<11030> nothing
<11030> nothing

//<11031> 中に入ると、ゆりはとても不服そうな顔でいつものように校長の席に座っていた。
<11031> 中に入ると、ゆりはとても不服そうな顔でいつものように校長の席に座っていた。

//<11032> nothing
<11032> nothing

//<11033> nothing
<11033> nothing

//<11034> nothing
<11034> nothing

//<11035> nothing
<11035> nothing

//<11036> nothing
<11036> nothing

//<11037> ゆり
<11037> ゆり

//<11038> 女生徒
<11038> 女生徒

//<11039> ？？
<11039> ？？

//<11040> 「今度こそ反省の弁でも…」
<11040> 「今度こそ反省の弁でも…」

//<11041> bs3_
<11041> bs3_

//<11042> nothing
<11042> nothing

//<11043> nothing
<11043> nothing

//<11044> nothing
<11044> nothing

//<11045> nothing
<11045> nothing

//<11046> nothing
<11046> nothing

//<11047> やはり俺は迷いもなく、駆けて、ゆり目がけて飛んだ。
<11047> やはり俺は迷いもなく、駆けて、ゆり目がけて飛んだ。

//<11048> se_handgun2
<11048> se_handgun2

//<11049> nothing
<11049> nothing

//<11050> nothing
<11050> nothing

//<11051> nothing
<11051> nothing

//<11052> nothing
<11052> nothing

//<11053> nothing
<11053> nothing

//<11054> またも腹部に衝撃。
<11054> またも腹部に衝撃。

//<11055> 銃を構えたゆりの姿が、斜めになり、黒く、消えていく…。
<11055> 銃を構えたゆりの姿が、斜めになり、黒く、消えていく…。

//<11056> さらに次の日の午前の自由行動。
<11056> さらに次の日の午前の自由行動。

//<11057> 諦めず本部の前に立ち、合い言葉を言った。
<11057> 諦めず本部の前に立ち、合い言葉を言った。

//<11058> se_key_open
<11058> se_key_open

//<11059> がちゃりと鍵が開く音。
<11059> がちゃりと鍵が開く音。

//<11060> se_wooddoor_open3
<11060> se_wooddoor_open3

//<11061> 中に入ると、ゆりが俺を待つように校長の席に座っていた。
<11061> 中に入ると、ゆりが俺を待つように校長の席に座っていた。

//<11062> nothing
<11062> nothing

//<11063> nothing
<11063> nothing

//<11064> nothing
<11064> nothing

//<11065> nothing
<11065> nothing

//<11066> nothing
<11066> nothing

//<11067> ゆり
<11067> ゆり

//<11068> 女生徒
<11068> 女生徒

//<11069> ？？
<11069> ？？

//<11070> 「カモーン」
<11070> 「カモーン」

//<11071> すでに銃を持っていて、挑発までされる！
<11071> すでに銃を持っていて、挑発までされる！

//<11072> se_handgun2
<11072> se_handgun2

//<11073> 俺は床に転がった。ぱん！と音がして今俺が居た場所に銃弾が食い込む。
<11073> 俺は床に転がった。ぱん！と音がして今俺が居た場所に銃弾が食い込む。

//<11074> se_handgun2
<11074> se_handgun2

//<11075> 次の行動に移ろうとした瞬間、二度めの発砲音が聞こえた。
<11075> 次の行動に移ろうとした瞬間、二度めの発砲音が聞こえた。

//<11076> nothing
<11076> nothing

//<11077> nothing
<11077> nothing

//<11078> nothing
<11078> nothing

//<11079> nothing
<11079> nothing

//<11080> nothing
<11080> nothing

//<11081> 背中に衝撃。
<11081> 背中に衝撃。

//<11082> 銃を構えたゆりの姿が、斜めになり、黒く、消えていく…。
<11082> 銃を構えたゆりの姿が、斜めになり、黒く、消えていく…。

//<11083> そのさらに次の日の午前の自由行動。
<11083> そのさらに次の日の午前の自由行動。

//<11084> さすが創設メンバー、そのリーダー。一発で的確に致命傷を負わせてまくる…。
<11084> さすが創設メンバー、そのリーダー。一発で的確に致命傷を負わせてまくる…。

//<11085> まずは回避しよう…。
<11085> まずは回避しよう…。

//<11086> 明鏡止水の心境で本部の前に立ち、合い言葉を言った。
<11086> 明鏡止水の心境で本部の前に立ち、合い言葉を言った。

//<11087> se_key_open
<11087> se_key_open

//<11088> がちゃりと鍵が開く音。
<11088> がちゃりと鍵が開く音。

//<11089> se_wooddoor_open3
<11089> se_wooddoor_open3

//<11090> 中に入ると、昨日と同じくゆりが俺を待つように校長の席に座っていた。
<11090> 中に入ると、昨日と同じくゆりが俺を待つように校長の席に座っていた。

//<11091> nothing
<11091> nothing

//<11092> nothing
<11092> nothing

//<11093> nothing
<11093> nothing

//<11094> nothing
<11094> nothing

//<11095> nothing
<11095> nothing

//<11096> ゆり
<11096> ゆり

//<11097> 女生徒
<11097> 女生徒

//<11098> ？？
<11098> ？？

//<11099> 「カモーン」
<11099> 「カモーン」

//<11100> またしても銃を持っていて、挑発までされる！
<11100> またしても銃を持っていて、挑発までされる！

//<11101> se_handgun2
<11101> se_handgun2

//<11102> 俺は床に転がった。ぱん！と音がして今俺が居たドアに銃弾が食い込む。
<11102> 俺は床に転がった。ぱん！と音がして今俺が居たドアに銃弾が食い込む。

//<11103> よし！
<11103> よし！

//<11104> se_handgun2
<11104> se_handgun2

//<11105> 次の行動に移ろうとした瞬間、二度めの発砲音が聞こえた。
<11105> 次の行動に移ろうとした瞬間、二度めの発砲音が聞こえた。

//<11106> nothing
<11106> nothing

//<11107> nothing
<11107> nothing

//<11108> nothing
<11108> nothing

//<11109> nothing
<11109> nothing

//<11110> nothing
<11110> nothing

//<11111> 再び背中に衝撃。
<11111> 再び背中に衝撃。

//<11112> 銃を構えたゆりの姿が、斜めになり、黒く、消えていく…。
<11112> 銃を構えたゆりの姿が、斜めになり、黒く、消えていく…。

//<11113> そのさらにまた次の日の午前の自由行動。
<11113> そのさらにまた次の日の午前の自由行動。

//<11114> 本部の前に立ち、合い言葉を言った。
<11114> 本部の前に立ち、合い言葉を言った。

//<11115> se_key_open
<11115> se_key_open

//<11116> がちゃりと鍵が開く音。
<11116> がちゃりと鍵が開く音。

//<11117> se_wooddoor_open3
<11117> se_wooddoor_open3

//<11118> 中に入ると、ゆりが待っててくれていた。
<11118> 中に入ると、ゆりが待っててくれていた。

//<11119> nothing
<11119> nothing

//<11120> nothing
<11120> nothing

//<11121> nothing
<11121> nothing

//<11122> nothing
<11122> nothing

//<11123> nothing
<11123> nothing

//<11124> ゆり
<11124> ゆり

//<11125> 女生徒
<11125> 女生徒

//<11126> ？？
<11126> ？？

//<11127> 「はいはい、あなたねー」
<11127> 「はいはい、あなたねー」

//<11128> すでに銃を持っていて、慣れたように軽々しく言われる。
<11128> すでに銃を持っていて、慣れたように軽々しく言われる。

//<11129> se_handgun2
<11129> se_handgun2

//<11130> 俺は床に転がった。ぱん！と音がして今俺が居たドアに銃弾が食い込む。
<11130> 俺は床に転がった。ぱん！と音がして今俺が居たドアに銃弾が食い込む。

//<11131> すぐさま、前に飛ぶ。
<11131> すぐさま、前に飛ぶ。

//<11132> se_handgun2
<11132> se_handgun2

//<11133> ぱん！と音がしたが、大丈夫、当たらなかった。
<11133> ぱん！と音がしたが、大丈夫、当たらなかった。

//<11134> 机に手をかけ、一気に飛んだ。
<11134> 机に手をかけ、一気に飛んだ。

//<11135> nothing
<11135> nothing

//<11136> nothing
<11136> nothing

//<11137> nothing
<11137> nothing

//<11138> nothing
<11138> nothing

//<11139> nothing
<11139> nothing

//<11140> すぐ前にゆり。このまま押し倒す！
<11140> すぐ前にゆり。このまま押し倒す！

//<11141> se_handgun2
<11141> se_handgun2

//<11142> nothing
<11142> nothing

//<11143> nothing
<11143> nothing

//<11144> nothing
<11144> nothing

//<11145> nothing
<11145> nothing

//<11146> nothing
<11146> nothing

//<11147> 腹部が熱くなる。
<11147> 腹部が熱くなる。

//<11148> ゆりの姿が、斜めになり、黒く、消えていく…。
<11148> ゆりの姿が、斜めになり、黒く、消えていく…。

//<11149> 次の日も…。
<11149> 次の日も…。

//<11150> nothing
<11150> nothing

//<11151> nothing
<11151> nothing

//<11152> nothing
<11152> nothing

//<11153> nothing
<11153> nothing

//<11154> nothing
<11154> nothing

//<11155> ゆり
<11155> ゆり

//<11156> 女生徒
<11156> 女生徒

//<11157> ？？
<11157> ？？

//<11158> 「あー、このチョコ美味しいわー」
<11158> 「あー、このチョコ美味しいわー」

//<11159> se_handgun2
<11159> se_handgun2

//<11160> nothing
<11160> nothing

//<11161> nothing
<11161> nothing

//<11162> nothing
<11162> nothing

//<11163> nothing
<11163> nothing

//<11164> nothing
<11164> nothing

//<11165> またゆりの姿が、斜めになり、黒く、消えていく…。
<11165> またゆりの姿が、斜めになり、黒く、消えていく…。

//<11166> その次の日も…。
<11166> その次の日も…。

//<11167> nothing
<11167> nothing

//<11168> nothing
<11168> nothing

//<11169> nothing
<11169> nothing

//<11170> nothing
<11170> nothing

//<11171> nothing
<11171> nothing

//<11172> ゆり
<11172> ゆり

//<11173> 女生徒
<11173> 女生徒

//<11174> ？？
<11174> ？？

//<11175> 「ちっ、深爪になっちゃったじゃない！」
<11175> 「ちっ、深爪になっちゃったじゃない！」

//<11176> se_handgun2
<11176> se_handgun2

//<11177> nothing
<11177> nothing

//<11178> nothing
<11178> nothing

//<11179> nothing
<11179> nothing

//<11180> nothing
<11180> nothing

//<11181> nothing
<11181> nothing

//<11182> いつものようにゆりの姿が、斜めになり、黒く、消えていく…。
<11182> いつものようにゆりの姿が、斜めになり、黒く、消えていく…。

//<11183> そのまた次の日も…。
<11183> そのまた次の日も…。

//<11184> nothing
<11184> nothing

//<11185> nothing
<11185> nothing

//<11186> nothing
<11186> nothing

//<11187> nothing
<11187> nothing

//<11188> nothing
<11188> nothing

//<11189> ゆり
<11189> ゆり

//<11190> 女生徒
<11190> 女生徒

//<11191> ？？
<11191> ？？

//<11192> 「うわっ、地雷、ここだったかっ！！　読み間違えたー！」
<11192> 「うわっ、地雷、ここだったかっ！！　読み間違えたー！」
