// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
<0000> ゆりは俺たちが居ることを確認すると、部屋の明かりを落としてプロジェクターを点けた。
//<14862> ただのエロ少年
<14862> ただのエロ少年

//<14863> ユリブサイク
<14863> ユリブサイク

//<14864> ドピュッシー
<14864> ドピュッシー

//<14865> アメリカンエロドッグ
<14865> アメリカンエロドッグ

//<14866> ゼウス
<14866> ゼウス

//<14867> 日向markⅡ
<14867> 日向markⅡ

//<14868> 糞虫
<14868> 糞虫

//<14869> 量産型日向
<14869> 量産型日向

//<14870> ？？
<14870> ？？

//<14871> 「ああ、ドキドキが止まらない…」
<14871> 「ああ、ドキドキが止まらない…」

//<14872> nothing
<14872> nothing

//<14873> nothing
<14873> nothing

//<14874> nothing
<14874> nothing

//<14875> nothing
<14875> nothing

//<14876> nothing
<14876> nothing

//<14877> 日向
<14877> 日向

//<14878> 男Ｂ
<14878> 男Ｂ

//<14879> エロエロ団総帥
<14879> エロエロ団総帥

//<14880> イケチン
<14880> イケチン

//<14881> ホモ太
<14881> ホモ太

//<14882> ひなチン
<14882> ひなチン

//<14883> 秀樹
<14883> 秀樹

//<14884> 男子生徒
<14884> 男子生徒

//<14885> ？？
<14885> ？？

//<14886> 「そりゃ、寝る前にすまなかった…」
<14886> 「そりゃ、寝る前にすまなかった…」

//<14887> 音無
<14887> 音無

//<14888> クソ坊主
<14888> クソ坊主

//<14889> 代理人
<14889> 代理人

//<14890> 微妙すぎるイケメン
<14890> 微妙すぎるイケメン

//<14891> ロリコン
<14891> ロリコン

//<14892> メガネ仲間
<14892> メガネ仲間

//<14893> 暗算日本記録保持者
<14893> 暗算日本記録保持者

//<14894> 通り魔
<14894> 通り魔

//<14895> 記憶ナシ男
<14895> 記憶ナシ男

//<14896> 音速
<14896> 音速

//<14897> 無限
<14897> 無限

//<14898> エロ侍
<14898> エロ侍

//<14899> エロエロ団ナンバー１
<14899> エロエロ団ナンバー１

//<14900> ただのエロ少年
<14900> ただのエロ少年

//<14901> ユリブサイク
<14901> ユリブサイク

//<14902> ドピュッシー
<14902> ドピュッシー

//<14903> アメリカンエロドッグ
<14903> アメリカンエロドッグ

//<14904> ゼウス
<14904> ゼウス

//<14905> 日向markⅡ
<14905> 日向markⅡ

//<14906> 糞虫
<14906> 糞虫

//<14907> 量産型日向
<14907> 量産型日向

//<14908> ？？
<14908> ？？

//<14909> 「いやいや、お前のせいじゃないっ、いや、お前のせいでもあるがっ、お前ではなく、お前のアソコのせいだっ！！」
<14909> 「いやいや、お前のせいじゃないっ、いや、お前のせいでもあるがっ、お前ではなく、お前のアソコのせいだっ！！」

//<14910> nothing
<14910> nothing

//<14911> nothing
<14911> nothing

//<14912> nothing
<14912> nothing

//<14913> nothing
<14913> nothing

//<14914> nothing
<14914> nothing

//<14915> 日向
<14915> 日向

//<14916> 男Ｂ
<14916> 男Ｂ

//<14917> エロエロ団総帥
<14917> エロエロ団総帥

//<14918> イケチン
<14918> イケチン

//<14919> ホモ太
<14919> ホモ太

//<14920> ひなチン
<14920> ひなチン

//<14921> 秀樹
<14921> 秀樹

//<14922> 男子生徒
<14922> 男子生徒

//<14923> ？？
<14923> ？？

//<14924> 「は？」
<14924> 「は？」

//<14925> 音無
<14925> 音無

//<14926> クソ坊主
<14926> クソ坊主

//<14927> 代理人
<14927> 代理人

//<14928> 微妙すぎるイケメン
<14928> 微妙すぎるイケメン

//<14929> ロリコン
<14929> ロリコン

//<14930> メガネ仲間
<14930> メガネ仲間

//<14931> 暗算日本記録保持者
<14931> 暗算日本記録保持者

//<14932> 通り魔
<14932> 通り魔

//<14933> 記憶ナシ男
<14933> 記憶ナシ男

//<14934> 音速
<14934> 音速

//<14935> 無限
<14935> 無限

//<14936> エロ侍
<14936> エロ侍

//<14937> エロエロ団ナンバー１
<14937> エロエロ団ナンバー１

//<14938> ただのエロ少年
<14938> ただのエロ少年

//<14939> ユリブサイク
<14939> ユリブサイク

//<14940> ドピュッシー
<14940> ドピュッシー

//<14941> アメリカンエロドッグ
<14941> アメリカンエロドッグ

//<14942> ゼウス
<14942> ゼウス

//<14943> 日向markⅡ
<14943> 日向markⅡ

//<14944> 糞虫
<14944> 糞虫

//<14945> 量産型日向
<14945> 量産型日向

//<14946> ？？
<14946> ？？

//<14947> 「いやいや、今のは忘れてくれ！　すぐ眠れる！　あー眠い！　ふわぁー、今のあくびね！　とっとと電気を消してくれ！」
<14947> 「いやいや、今のは忘れてくれ！　すぐ眠れる！　あー眠い！　ふわぁー、今のあくびね！　とっとと電気を消してくれ！」

//<14948> nothing
<14948> nothing

//<14949> nothing
<14949> nothing

//<14950> nothing
<14950> nothing

//<14951> nothing
<14951> nothing

//<14952> nothing
<14952> nothing

//<14953> 日向
<14953> 日向

//<14954> 男Ｂ
<14954> 男Ｂ

//<14955> エロエロ団総帥
<14955> エロエロ団総帥

//<14956> イケチン
<14956> イケチン

//<14957> ホモ太
<14957> ホモ太

//<14958> ひなチン
<14958> ひなチン

//<14959> 秀樹
<14959> 秀樹

//<14960> 男子生徒
<14960> 男子生徒

//<14961> ？？
<14961> ？？

//<14962> 「どれだけ必死なんだよ…ま、いいけどよ…」
<14962> 「どれだけ必死なんだよ…ま、いいけどよ…」

//<14963> 音無
<14963> 音無

//<14964> クソ坊主
<14964> クソ坊主

//<14965> 代理人
<14965> 代理人

//<14966> 微妙すぎるイケメン
<14966> 微妙すぎるイケメン

//<14967> ロリコン
<14967> ロリコン

//<14968> メガネ仲間
<14968> メガネ仲間

//<14969> 暗算日本記録保持者
<14969> 暗算日本記録保持者

//<14970> 通り魔
<14970> 通り魔

//<14971> 記憶ナシ男
<14971> 記憶ナシ男

//<14972> 音速
<14972> 音速

//<14973> 無限
<14973> 無限

//<14974> エロ侍
<14974> エロ侍

//<14975> エロエロ団ナンバー１
<14975> エロエロ団ナンバー１

//<14976> ただのエロ少年
<14976> ただのエロ少年

//<14977> ユリブサイク
<14977> ユリブサイク

//<14978> ドピュッシー
<14978> ドピュッシー

//<14979> アメリカンエロドッグ
<14979> アメリカンエロドッグ

//<14980> ゼウス
<14980> ゼウス

//<14981> 日向markⅡ
<14981> 日向markⅡ

//<14982> 糞虫
<14982> 糞虫

//<14983> 量産型日向
<14983> 量産型日向

//<14984> ？？
<14984> ？？

//<14985> 「え？　あ、すまんっ、なんだ？」
<14985> 「え？　あ、すまんっ、なんだ？」

//<14986> 慌てて本を閉じる。
<14986> 慌てて本を閉じる。

//<14987> nothing
<14987> nothing

//<14988> nothing
<14988> nothing

//<14989> nothing
<14989> nothing

//<14990> nothing
<14990> nothing

//<14991> nothing
<14991> nothing

//<14992> 日向
<14992> 日向

//<14993> 男Ｂ
<14993> 男Ｂ

//<14994> エロエロ団総帥
<14994> エロエロ団総帥

//<14995> イケチン
<14995> イケチン

//<14996> ホモ太
<14996> ホモ太

//<14997> ひなチン
<14997> ひなチン

//<14998> 秀樹
<14998> 秀樹

//<14999> 男子生徒
<14999> 男子生徒

//<15000> ？？
<15000> ？？

//<15001> 「消灯の時間だよ」
<15001> 「消灯の時間だよ」

//<15002> 音無
<15002> 音無

//<15003> クソ坊主
<15003> クソ坊主

//<15004> 代理人
<15004> 代理人

//<15005> 微妙すぎるイケメン
<15005> 微妙すぎるイケメン

//<15006> ロリコン
<15006> ロリコン

//<15007> メガネ仲間
<15007> メガネ仲間

//<15008> 暗算日本記録保持者
<15008> 暗算日本記録保持者

//<15009> 通り魔
<15009> 通り魔

//<15010> 記憶ナシ男
<15010> 記憶ナシ男

//<15011> 音速
<15011> 音速

//<15012> 無限
<15012> 無限

//<15013> エロ侍
<15013> エロ侍

//<15014> エロエロ団ナンバー１
<15014> エロエロ団ナンバー１

//<15015> ただのエロ少年
<15015> ただのエロ少年

//<15016> ユリブサイク
<15016> ユリブサイク

//<15017> ドピュッシー
<15017> ドピュッシー

//<15018> アメリカンエロドッグ
<15018> アメリカンエロドッグ

//<15019> ゼウス
<15019> ゼウス

//<15020> 日向markⅡ
<15020> 日向markⅡ

//<15021> 糞虫
<15021> 糞虫

//<15022> 量産型日向
<15022> 量産型日向

//<15023> ？？
<15023> ？？

//<15024> 「もうそんな時間か…」
<15024> 「もうそんな時間か…」

//<15025> nothing
<15025> nothing

//<15026> nothing
<15026> nothing

//<15027> nothing
<15027> nothing

//<15028> nothing
<15028> nothing

//<15029> nothing
<15029> nothing

//<15030> 日向
<15030> 日向

//<15031> 男Ｂ
<15031> 男Ｂ

//<15032> エロエロ団総帥
<15032> エロエロ団総帥

//<15033> イケチン
<15033> イケチン

//<15034> ホモ太
<15034> ホモ太

//<15035> ひなチン
<15035> ひなチン

//<15036> 秀樹
<15036> 秀樹

//<15037> 男子生徒
<15037> 男子生徒

//<15038> ？？
<15038> ？？

//<15039> 「電気消すなー」
<15039> 「電気消すなー」

//<15040> 音無
<15040> 音無

//<15041> クソ坊主
<15041> クソ坊主

//<15042> 代理人
<15042> 代理人

//<15043> 微妙すぎるイケメン
<15043> 微妙すぎるイケメン

//<15044> ロリコン
<15044> ロリコン

//<15045> メガネ仲間
<15045> メガネ仲間

//<15046> 暗算日本記録保持者
<15046> 暗算日本記録保持者

//<15047> 通り魔
<15047> 通り魔

//<15048> 記憶ナシ男
<15048> 記憶ナシ男

//<15049> 音速
<15049> 音速

//<15050> 無限
<15050> 無限

//<15051> エロ侍
<15051> エロ侍

//<15052> エロエロ団ナンバー１
<15052> エロエロ団ナンバー１

//<15053> ただのエロ少年
<15053> ただのエロ少年

//<15054> ユリブサイク
<15054> ユリブサイク

//<15055> ドピュッシー
<15055> ドピュッシー

//<15056> アメリカンエロドッグ
<15056> アメリカンエロドッグ

//<15057> ゼウス
<15057> ゼウス

//<15058> 日向markⅡ
<15058> 日向markⅡ

//<15059> 糞虫
<15059> 糞虫

//<15060> 量産型日向
<15060> 量産型日向

//<15061> ？？
<15061> ？？

//<15062> 「ああ」
<15062> 「ああ」

//<15063> nothing
<15063> nothing

//<15064> nothing
<15064> nothing

//<15065> nothing
<15065> nothing

//<15066> nothing
<15066> nothing

//<15067> nothing
<15067> nothing

//<15068> nothing
<15068> nothing

//<15069> se_lightswitch
<15069> se_lightswitch

//<15070> 日向
<15070> 日向

//<15071> 男Ｂ
<15071> 男Ｂ

//<15072> エロエロ団総帥
<15072> エロエロ団総帥

//<15073> イケチン
<15073> イケチン

//<15074> ホモ太
<15074> ホモ太

//<15075> ひなチン
<15075> ひなチン

//<15076> 秀樹
<15076> 秀樹

//<15077> 男子生徒
<15077> 男子生徒

//<15078> ？？
<15078> ？？

//<15079> 「おやすみ」
<15079> 「おやすみ」

//<15080> 音無
<15080> 音無

//<15081> クソ坊主
<15081> クソ坊主

//<15082> 代理人
<15082> 代理人

//<15083> 微妙すぎるイケメン
<15083> 微妙すぎるイケメン

//<15084> ロリコン
<15084> ロリコン

//<15085> メガネ仲間
<15085> メガネ仲間

//<15086> 暗算日本記録保持者
<15086> 暗算日本記録保持者

//<15087> 通り魔
<15087> 通り魔

//<15088> 記憶ナシ男
<15088> 記憶ナシ男

//<15089> 音速
<15089> 音速

//<15090> 無限
<15090> 無限

//<15091> エロ侍
<15091> エロ侍

//<15092> エロエロ団ナンバー１
<15092> エロエロ団ナンバー１

//<15093> ただのエロ少年
<15093> ただのエロ少年

//<15094> ユリブサイク
<15094> ユリブサイク

//<15095> ドピュッシー
<15095> ドピュッシー

//<15096> アメリカンエロドッグ
<15096> アメリカンエロドッグ

//<15097> ゼウス
<15097> ゼウス

//<15098> 日向markⅡ
<15098> 日向markⅡ

//<15099> 糞虫
<15099> 糞虫

//<15100> 量産型日向
<15100> 量産型日向

//<15101> ？？
<15101> ？？

//<15102> 「ああ、おやすみ」
<15102> 「ああ、おやすみ」

//<15103> 日向
<15103> 日向

//<15104> 男Ｂ
<15104> 男Ｂ

//<15105> エロエロ団総帥
<15105> エロエロ団総帥

//<15106> イケチン
<15106> イケチン

//<15107> ホモ太
<15107> ホモ太

//<15108> ひなチン
<15108> ひなチン

//<15109> 秀樹
<15109> 秀樹

//<15110> 男子生徒
<15110> 男子生徒

//<15111> ？？
<15111> ？？

//<15112> 「くっそ、まだ痛ぇーぜ…」
<15112> 「くっそ、まだ痛ぇーぜ…」

//<15113> 音無
<15113> 音無

//<15114> クソ坊主
<15114> クソ坊主

//<15115> 代理人
<15115> 代理人

//<15116> 微妙すぎるイケメン
<15116> 微妙すぎるイケメン

//<15117> ロリコン
<15117> ロリコン

//<15118> メガネ仲間
<15118> メガネ仲間

//<15119> 暗算日本記録保持者
<15119> 暗算日本記録保持者

//<15120> 通り魔
<15120> 通り魔

//<15121> 記憶ナシ男
<15121> 記憶ナシ男

//<15122> 音速
<15122> 音速

//<15123> 無限
<15123> 無限

//<15124> エロ侍
<15124> エロ侍

//<15125> エロエロ団ナンバー１
<15125> エロエロ団ナンバー１

//<15126> ただのエロ少年
<15126> ただのエロ少年

//<15127> ユリブサイク
<15127> ユリブサイク

//<15128> ドピュッシー
<15128> ドピュッシー

//<15129> アメリカンエロドッグ
<15129> アメリカンエロドッグ

//<15130> ゼウス
<15130> ゼウス

//<15131> 日向markⅡ
<15131> 日向markⅡ

//<15132> 糞虫
<15132> 糞虫

//<15133> 量産型日向
<15133> 量産型日向

//<15134> ？？
<15134> ？？

//<15135> 「それは、すまん…」
<15135> 「それは、すまん…」

//<15136> dummy
<15136> dummy

//<15137> bg_kuro
<15137> bg_kuro

//<15138> ep03_bg004
<15138> ep03_bg004

//<15139> mysoul
<15139> mysoul

//<15140> sys_bk_selline00
<15140> sys_bk_selline00

//<15141> yi0313
<15141> yi0313

//<15142> yi0314
<15142> yi0314

//<15143> yi030600d0
<15143> yi030600d0

//<15144> yi030600d0
<15144> yi030600d0

//<15145> yi030600d0
<15145> yi030600d0

//<15146> yi030400d0
<15146> yi030400d0

//<15147> yi0104
<15147> yi0104

//<15148> m118
<15148> m118

//<15149> evcm_1601
<15149> evcm_1601

//<15150> evcm_1602
<15150> evcm_1602

//<15151> yi0110
<15151> yi0110

//<15152> bg_kuro
<15152> bg_kuro

//<15153> ep01_bg057
<15153> ep01_bg057

//<15154> mt0106
<15154> mt0106

//<15155> yr0406
<15155> yr0406

//<15156> yi070600u3
<15156> yi070600u3

//<15157> bs1_yi0714_1100a0
<15157> bs1_yi0714_1100a0

//<15158> bs1_yr05060800
<15158> bs1_yr05060800

//<15159> yr0509
<15159> yr0509

//<15160> tm0201
<15160> tm0201

//<15161> bs1_tm0201
<15161> bs1_tm0201

//<15162> bs1_fj0111
<15162> bs1_fj0111

//<15163> bs1_hn0109
<15163> bs1_hn0109

//<15164> hn0212
<15164> hn0212

//<15165> yi010706c0
<15165> yi010706c0

//<15166> hn0108
<15166> hn0108

//<15167> tm0201
<15167> tm0201

//<15168> fj0111
<15168> fj0111

//<15169> bs3_yi030606g0
<15169> bs3_yi030606g0

//<15170> nd0510
<15170> nd0510

//<15171> bs1_yr0309
<15171> bs1_yr0309

//<15172> fj0211
<15172> fj0211

//<15173> yr0301
<15173> yr0301

//<15174> hn0106
<15174> hn0106

//<15175> yr0108
<15175> yr0108

//<15176> bs1_yi030300g0
<15176> bs1_yi030300g0

//<15177> yi020400r0
<15177> yi020400r0

//<15178> bs1_hn0408
<15178> bs1_hn0408

//<15179> bs1_tm0201
<15179> bs1_tm0201

//<15180> tm0210
<15180> tm0210

//<15181> bs1_yi0308_061500
<15181> bs1_yi0308_061500

//<15182> bs1_yr05060800
<15182> bs1_yr05060800

//<15183> yr0507
<15183> yr0507

//<15184> m109
<15184> m109

//<15185> bs1_yr0209
<15185> bs1_yr0209

//<15186> bs1_hn0109
<15186> bs1_hn0109

//<15187> hn0109_07
<15187> hn0109_07

//<15188> yr0207
<15188> yr0207

//<15189> hn0407
<15189> hn0407

//<15190> hn0407
<15190> hn0407

//<15191> sys_bk_selline00
<15191> sys_bk_selline00

//<15192> bs1_yr0101_03
<15192> bs1_yr0101_03

//<15193> yr0103
<15193> yr0103

//<15194> hn0209_07
<15194> hn0209_07

//<15195> hn0107
<15195> hn0107

//<15196> hn0109_07
<15196> hn0109_07

//<15197> hn0109_07
<15197> hn0109_07

//<15198> bs1_yr0608_09
<15198> bs1_yr0608_09

//<15199> yr0203
<15199> yr0203

//<15200> hn0105
<15200> hn0105

//<15201> hn0105
<15201> hn0105

//<15202> yr0507
<15202> yr0507

//<15203> yr0506
<15203> yr0506

//<15204> sys_bk_selline00
<15204> sys_bk_selline00

//<15205> bs1_yr0101_03
<15205> bs1_yr0101_03

//<15206> yr0103
<15206> yr0103

//<15207> hn0209_07
<15207> hn0209_07
