// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
<0000> 問題を解き始めると、すらすらと回答欄が埋まっていった。
//<5491> 通り魔
<5491> 通り魔

//<5492> 記憶ナシ男
<5492> 記憶ナシ男

//<5493> 音速
<5493> 音速

//<5494> 無限
<5494> 無限

//<5495> エロ侍
<5495> エロ侍

//<5496> エロエロ団ナンバー１
<5496> エロエロ団ナンバー１

//<5497> ただのエロ少年
<5497> ただのエロ少年

//<5498> ユリブサイク
<5498> ユリブサイク

//<5499> ドピュッシー
<5499> ドピュッシー

//<5500> アメリカンエロドッグ
<5500> アメリカンエロドッグ

//<5501> ゼウス
<5501> ゼウス

//<5502> 日向markⅡ
<5502> 日向markⅡ

//<5503> 糞虫
<5503> 糞虫

//<5504> 量産型日向
<5504> 量産型日向

//<5505> ？？
<5505> ？？

//<5506> 「作戦は成功している！　だよな、竹山！」
<5506> 「作戦は成功している！　だよな、竹山！」

//<5507> nothing
<5507> nothing

//<5508> nothing
<5508> nothing

//<5509> nothing
<5509> nothing

//<5510> nothing
<5510> nothing

//<5511> nothing
<5511> nothing

//<5512> 竹山
<5512> 竹山
{9863d} 33 // 5512

//<5513> 「はいっ！　あと僕のことはク…」
<5513> 「はいっ！　あと僕のことはク…」

//<5514> nothing
<5514> nothing

//<5515> nothing
<5515> nothing

//<5516> nothing
<5516> nothing

//<5517> nothing
<5517> nothing

//<5518> nothing
<5518> nothing

//<5519> nothing
<5519> nothing

//<5520> nothing
<5520> nothing

//<5521> nothing
<5521> nothing

//<5522> nothing
<5522> nothing

//<5523> nothing
<5523> nothing

//<5524> nothing
<5524> nothing

//<5525> 音無
<5525> 音無

//<5526> クソ坊主
<5526> クソ坊主

//<5527> 代理人
<5527> 代理人

//<5528> 微妙すぎるイケメン
<5528> 微妙すぎるイケメン

//<5529> ロリコン
<5529> ロリコン

//<5530> メガネ仲間
<5530> メガネ仲間

//<5531> 暗算日本記録保持者
<5531> 暗算日本記録保持者

//<5532> 通り魔
<5532> 通り魔

//<5533> 記憶ナシ男
<5533> 記憶ナシ男

//<5534> 音速
<5534> 音速

//<5535> 無限
<5535> 無限

//<5536> エロ侍
<5536> エロ侍

//<5537> エロエロ団ナンバー１
<5537> エロエロ団ナンバー１

//<5538> ただのエロ少年
<5538> ただのエロ少年

//<5539> ユリブサイク
<5539> ユリブサイク

//<5540> ドピュッシー
<5540> ドピュッシー

//<5541> アメリカンエロドッグ
<5541> アメリカンエロドッグ

//<5542> ゼウス
<5542> ゼウス

//<5543> 日向markⅡ
<5543> 日向markⅡ

//<5544> 糞虫
<5544> 糞虫

//<5545> 量産型日向
<5545> 量産型日向

//<5546> ？？
<5546> ？？

//<5547> 「だから、ゆりを攻めるのはお門違いだっ！」
<5547> 「だから、ゆりを攻めるのはお門違いだっ！」

//<5548> nothing
<5548> nothing

//<5549> nothing
<5549> nothing

//<5550> nothing
<5550> nothing

//<5551> nothing
<5551> nothing

//<5552> nothing
<5552> nothing

//<5553> 日向
<5553> 日向

//<5554> 男Ｂ
<5554> 男Ｂ

//<5555> エロエロ団総帥
<5555> エロエロ団総帥

//<5556> イケチン
<5556> イケチン

//<5557> ホモ太
<5557> ホモ太

//<5558> ひなチン
<5558> ひなチン

//<5559> 秀樹
<5559> 秀樹

//<5560> 男子生徒
<5560> 男子生徒

//<5561> ？？
<5561> ？？

//<5562> 「理不尽だぁぁーーー！！」
<5562> 「理不尽だぁぁーーー！！」

//<5563> nothing
<5563> nothing

//<5564> nothing
<5564> nothing

//<5565> nothing
<5565> nothing

//<5566> nothing
<5566> nothing

//<5567> nothing
<5567> nothing

//<5568> ゆり
<5568> ゆり

//<5569> 女生徒
<5569> 女生徒

//<5570> ？？
<5570> ？？

//<5571> 「なによっ、寄ってこないでよっ」
<5571> 「なによっ、寄ってこないでよっ」

//<5572> nothing
<5572> nothing

//<5573> nothing
<5573> nothing

//<5574> nothing
<5574> nothing

//<5575> nothing
<5575> nothing

//<5576> nothing
<5576> nothing

//<5577> 日向
<5577> 日向

//<5578> 男Ｂ
<5578> 男Ｂ

//<5579> エロエロ団総帥
<5579> エロエロ団総帥

//<5580> イケチン
<5580> イケチン

//<5581> ホモ太
<5581> ホモ太

//<5582> ひなチン
<5582> ひなチン

//<5583> 秀樹
<5583> 秀樹

//<5584> 男子生徒
<5584> 男子生徒

//<5585> ？？
<5585> ？？

//<5586> 「なんで、俺が飛ばされるんだよっ！！」
<5586> 「なんで、俺が飛ばされるんだよっ！！」

//<5587> nothing
<5587> nothing

//<5588> nothing
<5588> nothing

//<5589> nothing
<5589> nothing

//<5590> nothing
<5590> nothing

//<5591> nothing
<5591> nothing

//<5592> ゆり
<5592> ゆり

//<5593> 女生徒
<5593> 女生徒

//<5594> ？？
<5594> ？？

//<5595> 「だって、大山くんは、十分心に傷を負ったじゃない」
<5595> 「だって、大山くんは、十分心に傷を負ったじゃない」

//<5596> nothing
<5596> nothing

//<5597> nothing
<5597> nothing

//<5598> nothing
<5598> nothing

//<5599> nothing
<5599> nothing

//<5600> 大山
<5600> 大山

//<5601> 「うんうんっ…」
<5601> 「うんうんっ…」

//<5602> 涙ながらに頷く大山。
<5602> 涙ながらに頷く大山。

//<5603> nothing
<5603> nothing

//<5604> nothing
<5604> nothing

//<5605> nothing
<5605> nothing

//<5606> nothing
<5606> nothing

//<5607> nothing
<5607> nothing

//<5608> 日向
<5608> 日向

//<5609> 男Ｂ
<5609> 男Ｂ

//<5610> エロエロ団総帥
<5610> エロエロ団総帥

//<5611> イケチン
<5611> イケチン

//<5612> ホモ太
<5612> ホモ太

//<5613> ひなチン
<5613> ひなチン

//<5614> 秀樹
<5614> 秀樹

//<5615> 男子生徒
<5615> 男子生徒

//<5616> ？？
<5616> ？？

//<5617> 「それで、なんで俺なんだよっ！　わけがわかんねーよっ！」
<5617> 「それで、なんで俺なんだよっ！　わけがわかんねーよっ！」

//<5618> ゆりに近づけないよう、日向を押さえ続けた。
<5618> ゆりに近づけないよう、日向を押さえ続けた。

//<5619> nothing
<5619> nothing

//<5620> nothing
<5620> nothing

//<5621> nothing
<5621> nothing

//<5622> nothing
<5622> nothing

//<5623> nothing
<5623> nothing

//<5624> ゆり
<5624> ゆり

//<5625> 女生徒
<5625> 女生徒

//<5626> ？？
<5626> ？？

//<5627> 「それよりも、みんな。お昼にしましょっ」
<5627> 「それよりも、みんな。お昼にしましょっ」

//<5628> 笑顔でみんなにそう告げた。
<5628> 笑顔でみんなにそう告げた。

//<5629> nothing
<5629> nothing

//<5630> nothing
<5630> nothing

//<5631> nothing
<5631> nothing

//<5632> nothing
<5632> nothing

//<5633> nothing
<5633> nothing

//<5634> ゆり
<5634> ゆり

//<5635> 女生徒
<5635> 女生徒

//<5636> ？？
<5636> ？？

//<5637> 「お昼は頑張ったあなたたちにあたしからのおごりよ」
<5637> 「お昼は頑張ったあなたたちにあたしからのおごりよ」

//<5638> nothing
<5638> nothing

//<5639> nothing
<5639> nothing

//<5640> nothing
<5640> nothing

//<5641> nothing
<5641> nothing

//<5642> nothing
<5642> nothing

//<5643> じゃん！と食券をトランプのカードのように机の上に広げて見せた。
<5643> じゃん！と食券をトランプのカードのように机の上に広げて見せた。

//<5644> nothing
<5644> nothing

//<5645> nothing
<5645> nothing

//<5646> nothing
<5646> nothing

//<5647> nothing
<5647> nothing

//<5648> nothing
<5648> nothing

//<5649> ゆり
<5649> ゆり

//<5650> 女生徒
<5650> 女生徒

//<5651> ？？
<5651> ？？

//<5652> 「ほら、早いもん勝ちよ？」
<5652> 「ほら、早いもん勝ちよ？」

//<5653> 日向
<5653> 日向

//<5654> 男Ｂ
<5654> 男Ｂ

//<5655> エロエロ団総帥
<5655> エロエロ団総帥

//<5656> イケチン
<5656> イケチン

//<5657> ホモ太
<5657> ホモ太

//<5658> ひなチン
<5658> ひなチン

//<5659> 秀樹
<5659> 秀樹

//<5660> 男子生徒
<5660> 男子生徒

//<5661> ？？
<5661> ？？

//<5662> 「うどんしかないんだが…」
<5662> 「うどんしかないんだが…」

//<5663> nothing
<5663> nothing

//<5664> nothing
<5664> nothing

//<5665> nothing
<5665> nothing

//<5666> nothing
<5666> nothing

//<5667> nothing
<5667> nothing

//<5668> ゆり
<5668> ゆり

//<5669> 女生徒
<5669> 女生徒

//<5670> ？？
<5670> ？？

//<5671> 「まあ、余りもんだしー」
<5671> 「まあ、余りもんだしー」

//<5672> 日向
<5672> 日向

//<5673> 男Ｂ
<5673> 男Ｂ

//<5674> エロエロ団総帥
<5674> エロエロ団総帥

//<5675> イケチン
<5675> イケチン

//<5676> ホモ太
<5676> ホモ太

//<5677> ひなチン
<5677> ひなチン

//<5678> 秀樹
<5678> 秀樹

//<5679> 男子生徒
<5679> 男子生徒

//<5680> ？？
<5680> ？？

//<5681> 「で、なんで、お前ひとりカツ丼！？　ワッツ！？　ホワーイ！？」
<5681> 「で、なんで、お前ひとりカツ丼！？　ワッツ！？　ホワーイ！？」

//<5682> nothing
<5682> nothing

//<5683> nothing
<5683> nothing

//<5684> nothing
<5684> nothing

//<5685> nothing
<5685> nothing

//<5686> nothing
<5686> nothing

//<5687> ゆり
<5687> ゆり

//<5688> 女生徒
<5688> 女生徒

//<5689> ？？
<5689> ？？

//<5690> 「それ流行らせたいの？　ぜんぜん流行ってないわよ」
<5690> 「それ流行らせたいの？　ぜんぜん流行ってないわよ」

//<5691> 音無
<5691> 音無

//<5692> クソ坊主
<5692> クソ坊主

//<5693> 代理人
<5693> 代理人

//<5694> 微妙すぎるイケメン
<5694> 微妙すぎるイケメン

//<5695> ロリコン
<5695> ロリコン

//<5696> メガネ仲間
<5696> メガネ仲間

//<5697> 暗算日本記録保持者
<5697> 暗算日本記録保持者

//<5698> 通り魔
<5698> 通り魔

//<5699> 記憶ナシ男
<5699> 記憶ナシ男

//<5700> 音速
<5700> 音速

//<5701> 無限
<5701> 無限

//<5702> エロ侍
<5702> エロ侍

//<5703> エロエロ団ナンバー１
<5703> エロエロ団ナンバー１

//<5704> ただのエロ少年
<5704> ただのエロ少年

//<5705> ユリブサイク
<5705> ユリブサイク

//<5706> ドピュッシー
<5706> ドピュッシー

//<5707> アメリカンエロドッグ
<5707> アメリカンエロドッグ

//<5708> ゼウス
<5708> ゼウス

//<5709> 日向markⅡ
<5709> 日向markⅡ

//<5710> 糞虫
<5710> 糞虫

//<5711> 量産型日向
<5711> 量産型日向

//<5712> ？？
<5712> ？？

//<5713> 「すまん…また耳障りで不快だ…」
<5713> 「すまん…また耳障りで不快だ…」

//<5714> nothing
<5714> nothing

//<5715> nothing
<5715> nothing

//<5716> nothing
<5716> nothing

//<5717> nothing
<5717> nothing

//<5718> nothing
<5718> nothing

//<5719> 日向
<5719> 日向

//<5720> 男Ｂ
<5720> 男Ｂ

//<5721> エロエロ団総帥
<5721> エロエロ団総帥

//<5722> イケチン
<5722> イケチン

//<5723> ホモ太
<5723> ホモ太

//<5724> ひなチン
<5724> ひなチン

//<5725> 秀樹
<5725> 秀樹

//<5726> 男子生徒
<5726> 男子生徒

//<5727> ？？
<5727> ？？

//<5728> 「どーして！？　ホワーイ！？」
<5728> 「どーして！？　ホワーイ！？」

//<5729> 音無
<5729> 音無

//<5730> クソ坊主
<5730> クソ坊主

//<5731> 代理人
<5731> 代理人

//<5732> 微妙すぎるイケメン
<5732> 微妙すぎるイケメン

//<5733> ロリコン
<5733> ロリコン

//<5734> メガネ仲間
<5734> メガネ仲間

//<5735> 暗算日本記録保持者
<5735> 暗算日本記録保持者

//<5736> 通り魔
<5736> 通り魔

//<5737> 記憶ナシ男
<5737> 記憶ナシ男

//<5738> 音速
<5738> 音速

//<5739> 無限
<5739> 無限

//<5740> エロ侍
<5740> エロ侍

//<5741> エロエロ団ナンバー１
<5741> エロエロ団ナンバー１

//<5742> ただのエロ少年
<5742> ただのエロ少年

//<5743> ユリブサイク
<5743> ユリブサイク

//<5744> ドピュッシー
<5744> ドピュッシー

//<5745> アメリカンエロドッグ
<5745> アメリカンエロドッグ

//<5746> ゼウス
<5746> ゼウス

//<5747> 日向markⅡ
<5747> 日向markⅡ

//<5748> 糞虫
<5748> 糞虫

//<5749> 量産型日向
<5749> 量産型日向

//<5750> ？？
<5750> ？？

//<5751> 「イツツ…だから、やめてくれ…」
<5751> 「イツツ…だから、やめてくれ…」

//<5752> nothing
<5752> nothing

//<5753> nothing
<5753> nothing

//<5754> nothing
<5754> nothing

//<5755> nothing
<5755> nothing

//<5756> nothing
<5756> nothing

//<5757> 日向
<5757> 日向

//<5758> 男Ｂ
<5758> 男Ｂ

//<5759> エロエロ団総帥
<5759> エロエロ団総帥

//<5760> イケチン
<5760> イケチン

//<5761> ホモ太
<5761> ホモ太

//<5762> ひなチン
<5762> ひなチン

//<5763> 秀樹
<5763> 秀樹

//<5764> 男子生徒
<5764> 男子生徒

//<5765> ？？
<5765> ？？

//<5766> 「単なる口癖だよっ、なんて理不尽だぁーーっ！！」
<5766> 「単なる口癖だよっ、なんて理不尽だぁーーっ！！」

//<5767> nothing
<5767> nothing

//<5768> nothing
<5768> nothing

//<5769> nothing
<5769> nothing

//<5770> nothing
<5770> nothing

//<5771> nothing
<5771> nothing

//<5772> nothing
<5772> nothing

//<5773> ゆり以外、うどんをすすることに徹する。
<5773> ゆり以外、うどんをすすることに徹する。

//<5774> なんの具も乗っていない素うどんなのに、相変わらずダシはすごく深みがあり、何度でも食べたくなる美味さだ。
<5774> なんの具も乗っていない素うどんなのに、相変わらずダシはすごく深みがあり、何度でも食べたくなる美味さだ。

//<5775> nothing
<5775> nothing

//<5776> nothing
<5776> nothing

//<5777> nothing
<5777> nothing

//<5778> nothing
<5778> nothing

//<5779> nothing
<5779> nothing

//<5780> ゆり
<5780> ゆり

//<5781> 女生徒
<5781> 女生徒

//<5782> ？？
<5782> ？？

//<5783> 「で、抜かりはないわね？　竹山くん」
<5783> 「で、抜かりはないわね？　竹山くん」

//<5784> nothing
<5784> nothing

//<5785> nothing
<5785> nothing

//<5786> nothing
<5786> nothing

//<5787> nothing
<5787> nothing

//<5788> 竹山
<5788> 竹山
{a0573} 33 // 5788

//<5789> 「はい、完璧です。そして、念を押しますが僕のことはク…」
<5789> 「はい、完璧です。そして、念を押しますが僕のことはク…」

//<5790> nothing
<5790> nothing

//<5791> nothing
<5791> nothing

//<5792> nothing
<5792> nothing

//<5793> nothing
<5793> nothing

//<5794> nothing
<5794> nothing

//<5795> nothing
<5795> nothing

//<5796> nothing
<5796> nothing

//<5797> nothing
<5797> nothing

//<5798> nothing
<5798> nothing

//<5799> 日向
<5799> 日向

//<5800> 男Ｂ
<5800> 男Ｂ

//<5801> エロエロ団総帥
<5801> エロエロ団総帥

//<5802> イケチン
<5802> イケチン

//<5803> ホモ太
<5803> ホモ太

//<5804> ひなチン
<5804> ひなチン

//<5805> 秀樹
<5805> 秀樹

//<5806> 男子生徒
<5806> 男子生徒

//<5807> ？？
<5807> ？？

//<5808> 「はぁ…こっちは飛ばされて天井に激突して…後何回、こんな目に遭うんだぁ…？」
<5808> 「はぁ…こっちは飛ばされて天井に激突して…後何回、こんな目に遭うんだぁ…？」

//<5809> nothing
<5809> nothing

//<5810> nothing
<5810> nothing

//<5811> nothing
<5811> nothing

//<5812> nothing
<5812> nothing

//<5813> nothing
<5813> nothing

//<5814> ゆり
<5814> ゆり

//<5815> 女生徒
<5815> 女生徒

//<5816> ？？
<5816> ？？

//<5817> 「テスト中ずっとよ？」
<5817> 「テスト中ずっとよ？」

//<5818> nothing
<5818> nothing

//<5819> nothing
<5819> nothing

//<5820> nothing
<5820> nothing

//<5821> nothing
<5821> nothing

//<5822> nothing
<5822> nothing

//<5823> 日向
<5823> 日向

//<5824> 男Ｂ
<5824> 男Ｂ

//<5825> エロエロ団総帥
<5825> エロエロ団総帥

//<5826> イケチン
<5826> イケチン

//<5827> ホモ太
<5827> ホモ太

//<5828> ひなチン
<5828> ひなチン

//<5829> 秀樹
<5829> 秀樹

//<5830> 男子生徒
<5830> 男子生徒

//<5831> ？？
<5831> ？？

//<5832> 「だったら明日はメンバー変えようぜっ！？」
<5832> 「だったら明日はメンバー変えようぜっ！？」

//<5833> nothing
<5833> nothing

//<5834> nothing
<5834> nothing

//<5835> nothing
<5835> nothing

//<5836> nothing
<5836> nothing

//<5837> nothing
<5837> nothing

//<5838> ゆり
<5838> ゆり

//<5839> 女生徒
<5839> 女生徒

//<5840> ？？
<5840> ？？

//<5841> 「松下くんやＴＫって重そうだもの」
<5841> 「松下くんやＴＫって重そうだもの」

//<5842> nothing
<5842> nothing

//<5843> nothing
<5843> nothing

//<5844> nothing
<5844> nothing

//<5845> nothing
<5845> nothing

//<5846> nothing
<5846> nothing

//<5847> 日向
<5847> 日向

//<5848> 男Ｂ
<5848> 男Ｂ

//<5849> エロエロ団総帥
<5849> エロエロ団総帥

//<5850> イケチン
<5850> イケチン

//<5851> ホモ太
<5851> ホモ太

//<5852> ひなチン
<5852> ひなチン

//<5853> 秀樹
<5853> 秀樹

//<5854> 男子生徒
<5854> 男子生徒

//<5855> ？？
<5855> ？？

//<5856> 「軽いからって選ぶなよ！？　つか、いくら椅子ごと飛ぶのがインパクトがあるっつっても、みんな飽きてくるぜ？」
<5856> 「軽いからって選ぶなよ！？　つか、いくら椅子ごと飛ぶのがインパクトがあるっつっても、みんな飽きてくるぜ？」

//<5857> nothing
<5857> nothing

//<5858> nothing
<5858> nothing

//<5859> nothing
<5859> nothing

//<5860> nothing
<5860> nothing

//<5861> nothing
<5861> nothing

//<5862> 日向
<5862> 日向

//<5863> 男Ｂ
<5863> 男Ｂ

//<5864> エロエロ団総帥
<5864> エロエロ団総帥

//<5865> イケチン
<5865> イケチン

//<5866> ホモ太
<5866> ホモ太

//<5867> ひなチン
<5867> ひなチン

//<5868> 秀樹
<5868> 秀樹

//<5869> 男子生徒
<5869> 男子生徒

//<5870> ？？
<5870> ？？
{a1f20} 33 // 5870

//<5871> 「あーまた飛んでるわー…みたいにもう見ねーぜ？」
